set_name;release_type;release_date;removal_date;year;;;;
Basic;Core;March 11, 2014;March 30, 2021;Classic;;;;
Classic;Core;March 11, 2014;March 30, 2021;Classic;;;;
Reward;Core;March 11, 2014;April 26, 2016;Classic;;;;
Hall of Fame;Core;April 4, 2017;March 30, 2021;Classic;;;;
Legacy;Core;March 30, 2021;;Classic;;;;
Curse of Naxxramas (Naxx);Adventure;July 22, 2014;April 26, 2016;Classic;;;;
Goblins vs. Gnomes (GvG);Expansion;December 8, 2014;April 26, 2016;Classic;;;;
Blackrock Mountain ;Adventure;April 2, 2015;April 6, 2017;Classic;;;;
The Grand Tournament (TGT);Expansion;August 24, 2015;April 6, 2017;Classic;;;;
League of Explorers (LoE);Adventure;November 12, 2015;April 6, 2017;Classic;;;;
Whispers of the Old Gods (WOG);Expansion;April 26, 2016;April 12, 2018;Year of the Kraken;;;;
One Night in Karazhan (Kara);Adventure;August 11, 2016;April 12, 2018;Year of the Kraken;;;;
Mean Streets of Gadgetzan (MSG);Expansion;December 1, 2016;April 12, 2018;Year of the Kraken;;;;
Journey to Un'Goro (Un'goro);Expansion;April 6, 2017;April 9, 2019;Year of the Mammoth;;;;
Knights of the Frozen Throne (KFT);Expansion;August 10, 2017;April 9, 2019;Year of the Mammoth;;;;
Kobolds & Catacombs (KnC);Expansion;December 7, 2017;April 9, 2019;Year of the Mammoth;;;;
The Witchwood (Woods);Expansion;April 12, 2018;April 7, 2020;Year of the Raven;;;;
The Boomsday Project (Boomsday);Expansion;August 7, 2018;April 7, 2020;Year of the Raven;;;;
Rastakhan's Rumble (Rumble);Expansion;December 4, 2018;April 7, 2020;Year of the Raven;;;;
Rise of Shadows (RoS);Expansion;April 9, 2019;March 30, 2021;Year of the Dragon;;;;
Saviors of Uldum (SoU);Expansion;August 6, 2019;March 30, 2021;Year of the Dragon;;;;
Descent of Dragons (Dragons);Expansion;December 10, 2019;March 30, 2021;Year of the Dragon;;;;
Galakrond's Awakening (Awakening);Adventure;January 21, 2020;March 30, 2021;Year of the Dragon;;;;
Demon Hunter Initiate (DH);Adventure;April 2, 2020;March 30, 2021;Year of the Dragon;;;;
Ashes of Outland (Ashes);Expansion;April 7, 2020;;Year of the Phoenix;;;;
Scholomance Academy (Scholomance);Expansion;August 6, 2020;;Year of the Phoenix;;;;
Madness at the Darkmoon Faire (Darkmoon);Expansion;November 17, 2020;;Year of the Phoenix;;;;
Darkmoon Races;Miniset;January 19, 2021;;Year of the Phoenix;;;;
Core Set 2021;Core;March 30, 2021;;Year of the Gryphon;;;;
Forged in the Barrens (Barrens);Expansion;March 30, 2021;;Year of the Gryphon;;;;
Wailing Caverns;Miniset;June 3, 2021;;Year of the Gryphon;;;;
